name,mac address,encryption,lat,lon
Mckenzie,BC:EE:7B:7C:54:18,None,32.487125,-92.156214
Verizon Z839 CCBA,BC:FF:EB:18:29:B0,WPA+AES-CCM WPA+PSK,,
None,BE:2E:48:99:08:A3,WPA+AES-CCM WPA+PSK WPA+TKIP,32.499006,-92.129009
None,BE:34:26:1A:E8:E0,WPA+AES-CCM WPA+PSK WPA+TKIP,32.487979,-92.141830
None,BE:34:26:1C:0A:86,WPA+AES-CCM WPA+PSK WPA+TKIP,32.492119,-92.164652
None,BE:34:26:27:E5:2C,WPA+AES-CCM WPA+PSK WPA+TKIP,32.488589,-92.168048
None,BE:34:26:2C:CD:62,WPA+AES-CCM WPA+PSK WPA+TKIP,32.488442,-92.163307
None,BE:34:26:2E:84:FE,WPA+AES-CCM WPA+PSK WPA+TKIP,32.493406,-92.130065
None,BE:34:26:2E:AB:F0,WPA+AES-CCM WPA+PSK WPA+TKIP,32.493107,-92.165584
None,BE:34:26:30:1A:BC,WPA+AES-CCM WPA+PSK WPA+TKIP,32.492337,-92.163326
None,BE:34:26:30:2D:F4,WPA+AES-CCM WPA+PSK WPA+TKIP,32.488934,-92.168121
None,BE:34:26:37:5E:A8,WPA+AES-CCM WPA+PSK WPA+TKIP,32.492196,-92.163316
None,BE:34:26:6A:3B:0C,WPA+AES-CCM WPA+PSK WPA+TKIP,32.488118,-92.161358
None,BE:34:26:72:3B:36,WPA+AES-CCM WPA+PSK WPA+TKIP,32.492127,-92.163487
None,BE:34:26:7E:08:76,WPA+AES-CCM WPA+PSK WPA+TKIP,32.487122,-92.156248
None,BE:34:26:87:E9:AE,WPA+AES-CCM WPA+PSK WPA+TKIP,32.488426,-92.162153
None,BE:34:26:8F:B2:CE,WPA+AES-CCM WPA+PSK WPA+TKIP,,
Linksys15057,C0:56:27:70:82:C6,WPA+AES-CCM WPA+PSK,32.498787,-92.129234
FMS,C0:56:27:71:F0:4C,WPA+AES-CCM WPA+PSK WPA+TKIP,,
Lewis,C0:7C:D1:26:93:08,WPA+AES-CCM WPA+PSK,32.500517,-92.130634
franceshearn,C0:7C:D1:29:C6:58,WPA+AES-CCM WPA+PSK,32.488441,-92.162912
Ivory1,C0:7C:D1:54:0C:A8,WPA+AES-CCM WPA+PSK WPA+TKIP,32.491959,-92.172870
CBCI-2071-2.4,C0:7C:D1:54:40:B8,WPA+AES-CCM WPA+PSK WPA+TKIP,32.485485,-92.158913
HOME-533D-2.4,C0:7C:D1:9D:AE:38,WPA+AES-CCM WPA+PSK WPA+TKIP,32.492210,-92.131973
Queenie,C0:A0:0D:12:F8:94,WPA+AES-CCM WPA+PSK,32.488118,-92.160567
Dorianandmandy,C0:A0:0D:13:0E:72,WPA+AES-CCM WPA+PSK,,
Dont Ask Bitch,C0:A0:0D:17:8D:DA,WPA+AES-CCM WPA+PSK,32.493386,-92.123335
Burns Wifi,C0:A0:0D:1B:70:69,WPA+AES-CCM WPA+PSK,32.492714,-92.127891
cloudrealtydlink,C0:A0:BB:EC:52:11,WPA+AES-CCM WPA+PSK WPA+TKIP,,
October Sky,C0:C1:C0:D5:E0:4F,WPA+AES-CCM WPA+PSK WPA+TKIP,32.493580,-92.123390
ATT2177,C0:FF:D4:FC:79:8D,WPA+AES-CCM WPA+PSK,32.491367,-92.167819
xfinitywifi,C2:93:5B:C6:82:31,None,32.488430,-92.162397
None,C2:A4:62:A5:51:40,WPA+AES-CCM WPA+PSK,32.498368,-92.127461
None,C2:A4:62:F6:31:00,WPA+AES-CCM WPA+PSK,32.493039,-92.130680
None,C2:D2:F3:61:4E:EC,WPA+AES-CCM WPA+PSK,32.499408,-92.129681
DIRECT-roku-981-2E0166,C2:D2:F3:76:8B:84,WPA+AES-CCM WPA+PSK,32.498594,-92.127646
None,C2:D2:F3:76:8B:85,WPA+AES-CCM WPA+PSK,32.489948,-92.135559
mmms,C4:12:F5:76:CA:D6,WPA+AES-CCM WPA+PSK WPA+TKIP,32.492472,-92.163459
HOME-68C6,C4:27:95:50:68:C6,WPA+AES-CCM WPA+PSK WPA+TKIP,32.498870,-92.128650
99E4-O11T,C4:27:95:5D:4D:B6,WPA+AES-CCM WPA+PSK,32.488994,-92.168046
HOME-3B66,C4:27:95:60:3B:66,WPA+AES-CCM WPA+PSK WPA+TKIP,32.488493,-92.166781
HOME-4A68,C4:39:3A:B2:4A:68,WPA+AES-CCM WPA+PSK WPA+TKIP,32.491844,-92.166720
None,C4:39:3A:B2:4A:69,WPA+AES-CCM WPA+PSK,32.491774,-92.167148
None,C4:39:3A:B2:4A:6A,WPA+AES-CCM WPA+PSK WPA+TKIP,32.491701,-92.167332
None,C4:39:3A:B2:4A:6B,WPA+AES-CCM WPA+PSK WPA+TKIP,32.491909,-92.166870
taylortahoe,C4:49:BB:28:F8:AC,WPA+AES-CCM WPA+PSK WPA+TKIP,,
WiFi Hotspot 4854,C4:49:BB:46:00:42,WPA+AES-CCM WPA+PSK WPA+TKIP,32.491124,-92.148569
WiFi Hotspot 3532,C4:49:BB:62:43:88,WPA+AES-CCM WPA+PSK WPA+TKIP,32.497250,-92.126591
b burton,C4:49:BB:94:89:6F,WPA+AES-CCM WPA+PSK WPA+TKIP,32.492452,-92.126705
Joshs Truck,C4:49:BB:F0:AE:96,WPA+AES-CCM WPA+PSK WPA+TKIP,32.492561,-92.126801
None,C6:27:95:50:68:C7,WPA+AES-CCM WPA+PSK,32.498954,-92.128835
xfinitywifi,C6:27:95:50:68:C8,None,32.498941,-92.128747
None,C6:27:95:5D:4D:B7,WPA+AES-CCM WPA+PSK,32.489132,-92.168056
xfinitywifi,C6:27:95:5D:4D:B8,None,32.489869,-92.168015
xfinitywifi,C6:27:95:60:3B:68,None,32.488509,-92.167193
None,C6:7C:D1:26:93:08,WPA+AES-CCM WPA+PSK WPA+TKIP,32.500517,-92.130634
None,C6:7C:D1:29:C6:58,WPA+AES-CCM WPA+PSK WPA+TKIP,32.488438,-92.162749
xfinitywifi,C6:A4:62:85:E8:B0,None,32.491915,-92.165111
xfinitywifi,C6:A4:62:A5:51:40,None,32.498443,-92.127522
None,C6:AB:82:C6:04:30,WPA+AES-CCM WPA+PSK,32.497271,-92.126594
GPI-Secure,C8:00:84:84:F7:62,WPA+AES-CCM,32.486832,-92.150589
McDonalds Free WiFi,C8:B5:AD:B6:0F:20,None,,
eBOS,C8:B5:AD:B6:0F:23,None,,
MEWM,C8:BE:19:75:EB:AA,WPA+AES-CCM WPA+PSK WPA+TKIP,,
HP-Print-66-Deskjet 3520 series,C8:CB:B8:46:E3:66,None,,
DIRECT-DE-HP OfficeJet Pro 8720,C8:D3:FF:81:32:DF,WPA+AES-CCM WPA+PSK,,
DIRECT-8C-HP DeskJet 2600 series,C8:D9:D2:60:7E:8F,WPA+AES-CCM WPA+PSK,32.488581,-92.144201
DIRECT-8C-HP DeskJet 2600 series,C8:D9:D2:77:50:8D,WPA+AES-CCM WPA+PSK,32.485268,-92.161434
DIRECT-D4-HP ENVY 4520 series,C8:D9:D2:F3:CA:D5,WPA+AES-CCM WPA+PSK,32.488442,-92.163029
None,CA:3A:6B:59:37:45,WPA+AES-CCM WPA+PSK,32.486834,-92.140575
None,CA:3A:6B:5B:60:E2,WPA+AES-CCM WPA+PSK,32.493255,-92.123383
None,CA:3A:6B:5F:2F:2D,WPA+AES-CCM WPA+PSK,32.489948,-92.135559
None,CA:3A:6B:AA:6F:24,WPA+AES-CCM WPA+PSK,32.494723,-92.124406
None,CA:3A:6B:B0:79:E4,WPA+AES-CCM WPA+PSK,32.493097,-92.164210
None,CA:3A:6B:EF:55:49,WPA+AES-CCM WPA+PSK,32.498427,-92.127513
xfinitywifi,CA:7C:D1:26:93:08,None,,
